Код;Наименование должности по классификатору
КЛС-001;Бурильщик ручного бурения
КЛС-002;Бурильщик механического бурения
КЛС-003;Арматурщик
КЛС-004;Бетонщик
КЛС-005;Каменщик
КЛС-006;Плотник
КЛС-007;Столяр строительный
КЛС-008;Штукатур
КЛС-009;Маляр строительный
КЛС-010;Облицовщик-плиточник
КЛС-011;Кровельщик по рулонным кровлям
КЛС-012;Кровельщик по стальным кровлям
КЛС-013;Изолировщик на гидроизоляции
КЛС-014;Изолировщик на термоизоляции
КЛС-015;Монтажник по монтажу стальных и железобетонных конструкций
КЛС-016;Монтажник технологических трубопроводов
КЛС-017;Монтажник санитарно-технических систем
КЛС-018;Монтажник электрических подъемников
КЛС-019;Электромонтажник по силовым сетям
КЛС-020;Электрогазосварщик
КЛС-021;Сварщик арматурных сеток и каркасов
КЛС-022;Газорезчик
КЛС-023;Стропальщик
КЛС-024;Такелажник
КЛС-025;Машинист крана автомобильного
КЛС-026;Машинист башенного крана
КЛС-027;Машинист гусеничного крана
КЛС-028;Машинист экскаватора
КЛС-029;Машинист бульдозера
КЛС-030;Машинист автогрейдера
КЛС-031;Машинист катка
КЛС-032;Машинист буровой установки
КЛС-033;Машинист бетононасоса
КЛС-034;Машинист компрессорных установок
КЛС-035;Водитель автомобиля
КЛС-036;Водитель самосвала
КЛС-037;Дорожный рабочий
КЛС-038;Землекоп
КЛС-039;Подсобный рабочий
КЛС-040;Геодезист
КЛС-041;Инженер-геодезист
КЛС-042;Инженер по охране труда
КЛС-043;Инженер производственно-технического отдела
КЛС-044;Инженер по качеству
КЛС-045;Сметчик
КЛС-046;Прораб
КЛС-047;Мастер строительных и монтажных работ
КЛС-048;Начальник участка
КЛС-049;Механик строительных машин
КЛС-050;Слесарь-ремонтник
КЛС-051;Слесарь по сборке металлоконструкций
КЛС-052;Токарь
КЛС-053;Фрезеровщик
КЛС-054;Лаборант строительной лаборатории
КЛС-055;Дефектоскопист
КЛС-056;Проходчик
