id;Исходное наименование должности;Правильный код;Наименование по классификатору
1;Кровельщик по стальным кровлям;КЛС-012;Кровельщик по стальным кровлям
2;Инженер по качеству 5 разряда;КЛС-044;Инженер по качеству
3;Мастер строительных и монтажных работ 1 категории;КЛС-047;Мастер строительных и монтажных работ
11;Бетонщик;КЛС-004;Бетонщик
20;Плотник 5 разряда;КЛС-006;Плотник
26;"Нач. участка АО ""МостСтрой""";КЛС-048;Начальник участка
27;Газоорезчик;КЛС-022;Газорезчик
29;Машинист буровой установки;КЛС-032;Машинист буровой установки
33;ПЛОТНИК;КЛС-006;Плотник
43;Фрезеровщик;КЛС-053;Фрезеровщик
44;Инженер-геодезист 1 категории;КЛС-041;Инженер-геодезист
47;Бурильщик ручного бурения;КЛС-001;Бурильщик ручного бурения
54;"ИЗОЛИОВЩИК НА ТЕРМОИЗОЛЯЦИИ АО ""МОСТСТРОЙ""";КЛС-014;Изолировщик на термоизоляции
63;Машинист гусеничного крана;КЛС-027;Машинист гусеничного крана
73;Облицовщик-плиточник;КЛС-010;Облицовщик-плиточник
75;Каменщик;КЛС-005;Каменщик
76;Машинистт башенного крана;КЛС-026;Машинист башенного крана
87;Водитель автомобиля 2 категории;КЛС-035;Водитель автомобиля
94;Инженер ПТО;КЛС-043;Инженер производственно-технического отдела
97;Инженер ПТО;КЛС-043;Инженер производственно-технического отдела
109;Землекоп;КЛС-038;Землекоп
116;Бурильщик руч. бурения;КЛС-001;Бурильщик ручного бурения
117;Повар столовой;НЕТ СООТВЕТСТВИЯ;
120;Кровельщик по стальным кровлям;КЛС-012;Кровельщик по стальным кровлям
125;АРМАТУРЩИК;КЛС-003;Арматурщик
130;"Газорезчик ООО ""СтройМонтаж""";КЛС-022;Газорезчик
132;Электромонтажнк по силовым сетям;КЛС-019;Электромонтажник по силовым сетям
138;Такелажник 6 разряда;КЛС-024;Такелажник
144;Каменщик (вахта);КЛС-005;Каменщик
148;монтажник по монтажу стальных и железобетонных конструкций (совм.);КЛС-015;Монтажник по монтажу стальных и железобетонных конструкций
152;Монтажник электрических подъемников;КЛС-018;Монтажник электрических подъемников
160;Маляр строительный;КЛС-009;Маляр строительный
166;ОПЕРАТОР АВТОКРАНА;КЛС-025;Машинист крана автомобильного
175;Бурильщик мех. бурения 4 разряда;КЛС-002;Бурильщик механического бурения
184;Облицовщик-плиточник;КЛС-010;Облицовщик-плиточник
189;Землекоп 1 категории;КЛС-038;Землекоп
190;Облицовщик-плиточник;КЛС-010;Облицовщик-плиточник
197;ИНЖЕНЕР-ГЕОДЕЗИСТ;КЛС-041;Инженер-геодезист
211;Сметичк;КЛС-045;Сметчик
218;"Сварщик ЭГС ООО ""СтройМонтаж""";КЛС-020;Электрогазосварщик
222;  Машинист автогрейдера 4 разряда ;КЛС-030;Машинист автогрейдера
231;Машинист крана автомобильного 3 разряда;КЛС-025;Машинист крана автомобильного
240;Изолировщик на термоизоляици 1 категории;КЛС-014;Изолировщик на термоизоляции
252;  ВОДИТЕЛЬ САМОСВАЛА ;КЛС-036;Водитель самосвала
254;Штукаутр;КЛС-008;Штукатур
262;"крановщик автокрана ао ""мостстрой""";КЛС-025;Машинист крана автомобильного
263;"Электромонтажник по силовым сетям АО ""МостСтрой""";КЛС-019;Электромонтажник по силовым сетям
266;Машинист бетононасоса;КЛС-033;Машинист бетононасоса
287;Водтиель автомобиля;КЛС-035;Водитель автомобиля
296;Уборщик служебных помещений;НЕТ СООТВЕТСТВИЯ;
