id;Исходное наименование должности
1;Кровельщик по стальным кровлям
2;Инженер по качеству 5 разряда
3;Мастер строительных и монтажных работ 1 категории
4;БУЛЬДОЗЕРИСТ 6 РАЗРЯДА
5;Машинист бетоононасоса
6;Фрезеровщик 4 разряда
7;Маш. катка
8;Лаборант строительной лаборатории (осн.)
9;Маляр троительный
10;Землеекоп 3 разряда
11;Бетонщик
12;Слесарь-ремонтник
13;Инженер по качеству (вахта)
14;Лаборант строительной лаборатории 1 категории
15;  Инженер-геоедзист 
16;Маш. бетноонасоса
17;Сварщик арматурных сеток и каркасов (осн.)
18;Каенщик
19;Машинист беононасоса 2 категории
20;Плотник 5 разряда
21;Инжеенр по качеству 1 категории
22;  МАШИНИСТ ГУСЕНИЧНОГО КРАНА 
23;Слесарь по сборке металлоконстр.
24;Маш. крнаа автомобильного
25;Механик строит. машин
26;"Нач. участка АО ""МостСтрой"""
27;Газоорезчик
28;Рабочий подсобный
29;Машинист буровой установки
30;МАШ. БАШЕННОГО КРАНА 2 КАТЕГОРИИ
31;Арматурщик
32;Электромонтажник по силовым сетям 1 категории
33;ПЛОТНИК
34;монтажник электрических подъемников
35;"ПЛОТНИК ООО ""СТРОЙМОНТАЖ"""
36;Токарь (совм.)
37;Машинист автокрана
38;МАСТЕР СТРОЙУАСТКА
39;Сварщик ЭГС
40;  Газорезчик 
41;Бурильщик механического бурения
42;Токкарь 6 разряда
43;Фрезеровщик
44;Инженер-геодезист 1 категории
45;Проходчик
46;Прораб (производитель работ)
47;Бурильщик ручного бурения
48;Инженер по охране труда 6 разряда
49;Агроом
50;Бурильщик мех. бурения
51;Маш. гсеничного крана
52;Бухгалтер материального стола
53;Сварщик арматурных сеток и каркасов 1 категории
54;"ИЗОЛИОВЩИК НА ТЕРМОИЗОЛЯЦИИ АО ""МОСТСТРОЙ"""
55;"монтажник электрических подъемников ао ""мостстрой"""
56;  Проходчик 
57;Инженер по качеству
58;  Прораб (производитель работ) 
59;Землекоп
60;Машинист крана автомоб.
61;подсобный рабочий
62;токарь 6 разряда
63;Машинист гусеничного крана
64;Машинист буровой установки
65;ИНЖЕНЕР ПО КАЧЕСТВУ
66;Специалист отдела кадров
67;КРОВЕЛЬЩИК ПО СТАЛЬНЫМ КРОЛВЯМ
68;Лаборант строительной лаборатории
69;  сварщик эгс 
70;Изолировщик на термоизоляции
71;Такелажник
72;Оператор автокрана
73;Облицовщик-плиточник
74;  Монтажник по монтажу стальных и железобетонных конструкций 
75;Каменщик
76;Машинистт башенного крана
77;Бетонщик
78;Землекоп
79;Арматурщик
80;"ШУТКАТУР ООО ""СТРОЙМОНТАЖ"""
81;  водитель автомобиля 
82;Токрь 1 категории
83;Электрогазосварщик (осн.)
84;Охранник
85;Монтажник электричексих подъемников 6 разряда
86;Инженер-геодезист
87;Водитель автомобиля 2 категории
88;ИЗОЛИРОВЩИК НА ТЕРМОИЗОЛЯЦИИ
89;Нач. чуастка
90;Машинист буровой устаонвки
91;плотник (осн.)
92;Бурильщик рунчого бурения
93;Машинист экскаватора (осн.)
94;Инженер ПТО
95;Шткуатур
96;Машинист крана башенного
97;Инженер ПТО
98;БЕТОНЩИК 4 РАЗРЯДА
99;"Рабочий пособный ООО ""СтройМонтаж"""
100;Прораб 5 разряда
101;Машинист гусеничного крана
102;Инженер-геодезист 2 категории
103;Водитель самосвала
104;Монтажник электрических подъемников
105;Инженер-геодезист (осн.)
106;инженер-геодезист
107;Арматурщик
108;Машинист булдьозера
109;Землекоп
110;ВОДИТЕЛЬ АВТОМОБИЛЯ
111;  Машинист башенного крана 
112;Маш. катка
113;Переводчик
114;Проходчик 2 категории
115;  Смметчик 
116;Бурильщик руч. бурения
117;Повар столовой
118;  Водитель самосвала 
119;Эл.газосврщик 2 категории
120;Кровельщик по стальным кровлям
121;Арматурщик (вахта)
122;Дефектоскопист
123;Произвдоитель работ
124;Сварщик арматрных сеток и каркасов
125;АРМАТУРЩИК
126;Делопроизводитель
127;"операттор экскаватора ооо ""строймонтаж"""
128;Инженер по каачеству 6 разряда
