id;исходное наименование;код;наименование по классификатору;уверенность;требует проверки
1;Кровельщик по стальным кровлям;КЛС-012;Кровельщик по стальным кровлям;1.00;нет
2;Инженер по качеству 5 разряда;КЛС-044;Инженер по качеству;1.00;нет
3;Мастер строительных и монтажных работ 1 категории;КЛС-047;Мастер строительных и монтажных работ;1.00;нет
4;БУЛЬДОЗЕРИСТ 6 РАЗРЯДА;КЛС-029;Машинист бульдозера;1.00;нет
5;Машинист бетоононасоса;КЛС-033;Машинист бетононасоса;0.98;нет
6;Фрезеровщик 4 разряда;КЛС-053;Фрезеровщик;1.00;нет
7;Маш. катка;КЛС-031;Машинист катка;1.00;нет
8;Лаборант строительной лаборатории (осн.);КЛС-054;Лаборант строительной лаборатории;1.00;нет
9;Маляр троительный;КЛС-009;Маляр строительный;0.97;нет
10;Землеекоп 3 разряда;КЛС-038;Землекоп;0.94;нет
11;Бетонщик;КЛС-004;Бетонщик;1.00;нет
12;Слесарь-ремонтник;КЛС-050;Слесарь-ремонтник;1.00;нет
13;Инженер по качеству (вахта);КЛС-044;Инженер по качеству;1.00;нет
14;Лаборант строительной лаборатории 1 категории;КЛС-054;Лаборант строительной лаборатории;1.00;нет
15;  Инженер-геоедзист ;КЛС-041;Инженер-геодезист;0.94;нет
16;Маш. бетноонасоса;КЛС-033;Машинист бетононасоса;0.95;нет
17;Сварщик арматурных сеток и каркасов (осн.);КЛС-021;Сварщик арматурных сеток и каркасов;1.00;нет
18;Каенщик;КЛС-005;Каменщик;0.93;нет
19;Машинист беононасоса 2 категории;КЛС-033;Машинист бетононасоса;0.98;нет
20;Плотник 5 разряда;КЛС-006;Плотник;1.00;нет
21;Инжеенр по качеству 1 категории;КЛС-044;Инженер по качеству;0.95;нет
22;  МАШИНИСТ ГУСЕНИЧНОГО КРАНА ;КЛС-027;Машинист гусеничного крана;1.00;нет
23;Слесарь по сборке металлоконстр.;КЛС-051;Слесарь по сборке металлоконструкций;0.91;нет
24;Маш. крнаа автомобильного;КЛС-025;Машинист крана автомобильного;0.97;нет
25;Механик строит. машин;КЛС-049;Механик строительных машин;0.92;нет
26;"Нач. участка АО ""МостСтрой""";КЛС-048;Начальник участка;1.00;нет
27;Газоорезчик;КЛС-022;Газорезчик;0.95;нет
28;Рабочий подсобный;КЛС-039;Подсобный рабочий;1.00;нет
29;Машинист буровой установки;КЛС-032;Машинист буровой установки;1.00;нет
30;МАШ. БАШЕННОГО КРАНА 2 КАТЕГОРИИ;КЛС-026;Машинист башенного крана;1.00;нет
31;Арматурщик;КЛС-003;Арматурщик;1.00;нет
32;Электромонтажник по силовым сетям 1 категории;КЛС-019;Электромонтажник по силовым сетям;1.00;нет
33;ПЛОТНИК;КЛС-006;Плотник;1.00;нет
34;монтажник электрических подъемников;КЛС-018;Монтажник электрических подъемников;1.00;нет
35;"ПЛОТНИК ООО ""СТРОЙМОНТАЖ""";КЛС-006;Плотник;1.00;нет
36;Токарь (совм.);КЛС-052;Токарь;1.00;нет
37;Машинист автокрана;КЛС-025;Машинист крана автомобильного;1.00;нет
38;МАСТЕР СТРОЙУАСТКА;НЕТ СООТВЕТСТВИЯ;;0.50;нет
39;Сварщик ЭГС;КЛС-020;Электрогазосварщик;1.00;нет
40;  Газорезчик ;КЛС-022;Газорезчик;1.00;нет
41;Бурильщик механического бурения;КЛС-002;Бурильщик механического бурения;1.00;нет
42;Токкарь 6 разряда;КЛС-052;Токарь;0.92;нет
43;Фрезеровщик;КЛС-053;Фрезеровщик;1.00;нет
44;Инженер-геодезист 1 категории;КЛС-041;Инженер-геодезист;1.00;нет
45;Проходчик;КЛС-056;Проходчик;1.00;нет
46;Прораб (производитель работ);КЛС-046;Прораб;1.00;нет
47;Бурильщик ручного бурения;КЛС-001;Бурильщик ручного бурения;1.00;нет
48;Инженер по охране труда 6 разряда;КЛС-042;Инженер по охране труда;1.00;нет
49;Агроом;НЕТ СООТВЕТСТВИЯ;;0.60;нет
50;Бурильщик мех. бурения;КЛС-002;Бурильщик механического бурения;1.00;нет
51;Маш. гсеничного крана;КЛС-027;Машинист гусеничного крана;0.98;нет
52;Бухгалтер материального стола;НЕТ СООТВЕТСТВИЯ;;0.50;нет
53;Сварщик арматурных сеток и каркасов 1 категории;КЛС-021;Сварщик арматурных сеток и каркасов;1.00;нет
54;"ИЗОЛИОВЩИК НА ТЕРМОИЗОЛЯЦИИ АО ""МОСТСТРОЙ""";КЛС-014;Изолировщик на термоизоляции;0.98;нет
55;"монтажник электрических подъемников ао ""мостстрой""";КЛС-018;Монтажник электрических подъемников;1.00;нет
56;  Проходчик ;КЛС-056;Проходчик;1.00;нет
57;Инженер по качеству;КЛС-044;Инженер по качеству;1.00;нет
58;  Прораб (производитель работ) ;КЛС-046;Прораб;1.00;нет
59;Землекоп;КЛС-038;Землекоп;1.00;нет
60;Машинист крана автомоб.;КЛС-025;Машинист крана автомобильного;0.85;да
61;подсобный рабочий;КЛС-039;Подсобный рабочий;1.00;нет
62;токарь 6 разряда;КЛС-052;Токарь;1.00;нет
63;Машинист гусеничного крана;КЛС-027;Машинист гусеничного крана;1.00;нет
64;Машинист буровой установки;КЛС-032;Машинист буровой установки;1.00;нет
65;ИНЖЕНЕР ПО КАЧЕСТВУ;КЛС-044;Инженер по качеству;1.00;нет
66;Специалист отдела кадров;НЕТ СООТВЕТСТВИЯ;;0.51;нет
67;КРОВЕЛЬЩИК ПО СТАЛЬНЫМ КРОЛВЯМ;КЛС-012;Кровельщик по стальным кровлям;0.97;нет
68;Лаборант строительной лаборатории;КЛС-054;Лаборант строительной лаборатории;1.00;нет
69;  сварщик эгс ;КЛС-020;Электрогазосварщик;1.00;нет
70;Изолировщик на термоизоляции;КЛС-014;Изолировщик на термоизоляции;1.00;нет
71;Такелажник;КЛС-024;Такелажник;1.00;нет
72;Оператор автокрана;КЛС-025;Машинист крана автомобильного;1.00;нет
73;Облицовщик-плиточник;КЛС-010;Облицовщик-плиточник;1.00;нет
74;  Монтажник по монтажу стальных и железобетонных конструкций ;КЛС-015;Монтажник по монтажу стальных и железобетонных конструкций;1.00;нет
75;Каменщик;КЛС-005;Каменщик;1.00;нет
76;Машинистт башенного крана;КЛС-026;Машинист башенного крана;1.00;нет
77;Бетонщик;КЛС-004;Бетонщик;1.00;нет
78;Землекоп;КЛС-038;Землекоп;1.00;нет
79;Арматурщик;КЛС-003;Арматурщик;1.00;нет
80;"ШУТКАТУР ООО ""СТРОЙМОНТАЖ""";КЛС-008;Штукатур;0.88;да
81;  водитель автомобиля ;КЛС-035;Водитель автомобиля;1.00;нет
82;Токрь 1 категории;КЛС-052;Токарь;0.91;нет
83;Электрогазосварщик (осн.);КЛС-020;Электрогазосварщик;1.00;нет
84;Охранник;НЕТ СООТВЕТСТВИЯ;;0.47;нет
85;Монтажник электричексих подъемников 6 разряда;КЛС-018;Монтажник электрических подъемников;0.97;нет
86;Инженер-геодезист;КЛС-041;Инженер-геодезист;1.00;нет
87;Водитель автомобиля 2 категории;КЛС-035;Водитель автомобиля;1.00;нет
88;ИЗОЛИРОВЩИК НА ТЕРМОИЗОЛЯЦИИ;КЛС-014;Изолировщик на термоизоляции;1.00;нет
89;Нач. чуастка;КЛС-048;Начальник участка;0.94;нет
90;Машинист буровой устаонвки;КЛС-032;Машинист буровой установки;0.96;нет
91;плотник (осн.);КЛС-006;Плотник;1.00;нет
92;Бурильщик рунчого бурения;КЛС-001;Бурильщик ручного бурения;0.96;нет
93;Машинист экскаватора (осн.);КЛС-028;Машинист экскаватора;1.00;нет
94;Инженер ПТО;КЛС-043;Инженер производственно-технического отдела;1.00;нет
95;Шткуатур;КЛС-008;Штукатур;0.88;да
96;Машинист крана башенного;КЛС-026;Машинист башенного крана;1.00;нет
97;Инженер ПТО;КЛС-043;Инженер производственно-технического отдела;1.00;нет
98;БЕТОНЩИК 4 РАЗРЯДА;КЛС-004;Бетонщик;1.00;нет
99;"Рабочий пособный ООО ""СтройМонтаж""";КЛС-039;Подсобный рабочий;0.97;нет
100;Прораб 5 разряда;КЛС-046;Прораб;1.00;нет
101;Машинист гусеничного крана;КЛС-027;Машинист гусеничного крана;1.00;нет
102;Инженер-геодезист 2 категории;КЛС-041;Инженер-геодезист;1.00;нет
103;Водитель самосвала;КЛС-036;Водитель самосвала;1.00;нет
104;Монтажник электрических подъемников;КЛС-018;Монтажник электрических подъемников;1.00;нет
105;Инженер-геодезист (осн.);КЛС-041;Инженер-геодезист;1.00;нет
106;инженер-геодезист;КЛС-041;Инженер-геодезист;1.00;нет
107;Арматурщик;КЛС-003;Арматурщик;1.00;нет
108;Машинист булдьозера;КЛС-029;Машинист бульдозера;0.95;нет
109;Землекоп;КЛС-038;Землекоп;1.00;нет
110;ВОДИТЕЛЬ АВТОМОБИЛЯ;КЛС-035;Водитель автомобиля;1.00;нет
111;  Машинист башенного крана ;КЛС-026;Машинист башенного крана;1.00;нет
112;Маш. катка;КЛС-031;Машинист катка;1.00;нет
113;Переводчик;НЕТ СООТВЕТСТВИЯ;;0.26;да
114;Проходчик 2 категории;КЛС-056;Проходчик;1.00;нет
115;  Смметчик ;КЛС-045;Сметчик;0.93;нет
